tx	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
ATCG00320.1	0	0	0	0	0	0
ATCG00330.1	6035.587785	7057.497436	6102.900006	6608.552329	9384.695998	9822.261374
ATCG00340.1	3358.16082	5697.802927	7571.873561	4044.738141	4649.247764	5237.400324
ATCG00350.1	1645.239078	2718.210637	3601.830592	1881.760595	2163.530692	2453.565489
ATCG00360.1	527.948776	563.865323	676.248329	694.520381	691.784245	719.642382
ATCG00370.1	2.028845	0	0	4.768458	8.563547	0
ATCG00380.1	701.382147	805.751986	1093.587682	998.269938	1125.961429	1130.344601
ATCG00390.1	0	0	0	0	0	0
ATCG00400.1	0	0	0	0	0	0
ATCG00410.1	0	0	0	0	0	0
ATCG00420.1	1102.012824	1221.56535	1540.951364	1295.965484	1291.693599	1324.285507
ATCG00430.1	1327.764185	1752.611648	2826.689453	1752.273268	1739.333158	1839.10359
ATCG00440.1	2182.318805	2515.857598	3145.654224	3039.132108	3123.174847	3255.796199
ATCG00450.1	0	0	0	0	0	0
ATCG00460.1	0	0	0	0	0	0
ATCG00470.1	5946.66659	7677.601264	9683.707141	7191.906081	7315.280703	7522.199343
ATCG00480.1	1772.147142	2179.926065	2687.601359	1864.033074	1957.135072	1922.693424
ATCG00490.1	26407.958451	28497.237744	37308.805627	26058.939752	26021.728694	25504.435377
ATCG00500.1	558.045401	673.830547	910.73885	832.473009	919.389877	875.32534
ATCG00510.1	3678.295581	3419.682687	2862.902049	4179.553038	4350.281872	4195.524361
ATCG00520.1	1220.241012	1411.290468	2262.032788	1544.75227	1450.037094	1451.740626
ATCG00530.1	1092.351044	1238.582796	1885.786048	1346.984768	1195.305689	1196.37723
ATCG00540.1	1582.622401	1704.219082	1989.008818	1941.273211	1953.781205	1830.56905
ATCG00550.1	15278.722807	16074.426398	10917.49409	16418.991442	17484.08685	16497.100798
ATCG00560.1	23812.551151	24727.091639	31330.490174	27277.961386	26829.592727	27962.37561
ATCG00570.1	24924.358089	28848.273579	40741.492416	30000.154587	28653.093015	26909.406453
ATCG00580.1	34613.816419	35293.790021	52264.736222	40331.852338	38598.582403	37215.889584
ATCG00590.1	4.05769	0	5.044761	14.305373	2.140887	0
ATCG00600.1	180.567185	70.654601	118.551891	164.511785	137.016752	142.498322
ATCG00610.1	0	0	0	0	0	0
ATCG00620.1	0	0	0	0	0	0
ATCG00630.1	217260.364609	253210.444957	89946.833135	236650.203154	229703.232304	261562.093809
ATCG00640.1	12796.600292	12910.950752	11286.812659	16070.496669	16913.718939	15268.344778
ATCG00650.1	1773.572629	1832.729882	2055.42494	2451.966415	2574.110474	2374.624406
ATCG00660.1	1386.325243	1443.683133	1515.829508	1760.936351	1928.280226	1752.29809
ATCG00065.1	2406.209906	3548.879672	3586.825298	2350.84957	2153.732069	2469.192232
ATCG00670.1	2341.909268	2298.425938	2917.540231	2388.170824	2528.429897	2306.060459
ATCG00680.1	3212.531069	4044.742852	5337.420265	3554.210686	3714.488776	4040.819971
ATCG00690.1	551.845779	857.948726	1198.130813	574.599134	507.390159	628.394239
ATCG00700.1	1751.400254	919.014488	1042.373808	1648.694196	2016.715317	1731.004204
ATCG00710.1	31687.004943	43803.329228	73127.598896	44462.290263	42353.697759	45012.53342
ATCG00720.1	2666.556764	3413.932199	6151.302582	3497.321648	3133.388197	3258.438048
ATCG00730.1	3226.151782	3766.064258	5435.06711	3978.46595	3941.824673	4114.246347
ATCG00740.1	850.053629	971.655584	1189.036174	918.72879	1014.626789	993.756176
ATCG00750.1	819.058	894.70846	1037.69532	931.819422	980.859442	921.923716
ATCG00760.1	1219.335711	1166.810268	1884.218353	1547.364473	1849.72615	1467.031903
ATCG00770.1	1298.513015	1514.41788	1358.179935	1494.588416	1515.333452	1554.942291
ATCG00780.1	1631.39579	1688.840048	1921.2274	1789.854564	1788.89978	1731.710905
ATCG00790.1	1335.146794	1554.925062	2575.653978	1565.985602	1486.114151	1430.719818
ATCG00800.1	1682.162895	1852.638434	2131.883976	2152.217666	2493.988061	2430.000773
ATCG00810.1	806.596974	977.121807	1336.415984	1048.515987	1040.609379	1039.255002
ATCG00820.1	1321.494013	1596.318993	1979.920443	1885.78471	2119.666782	1988.243219
ATCG00830.1	887.400405	1047.439656	1204.319401	1540.369712	1697.898658	1606.108825
ATCG00840.1	1671.429956	2152.105501	2987.759891	2107.260863	2114.304071	1979.402918
ATCG00850.1	0	0	0	0	0	0
ATCG00860.1	236.276107	293.336607	378.870998	309.093575	337.156984	339.112075
ATCG00870.1	2511.130164	2417.685091	1888.542434	3214.621593	3285.190715	3312.335113
ATCG00880.1	0	0	0	0	0	0
ATCG00890.1	1164.528034	1320.700826	1816.770059	1074.052674	1077.699792	1060.709985
ATCG00900.1	1802.567813	2253.54222	2917.987588	2186.942082	2299.223575	2356.69639
ATCG00905.1	4771.012934	5316.437566	8532.296543	5279.982991	5091.417939	5016.854107
ATCG00910.1	0	0	0	0	0	0
ATCG00920.1	27.005975	145.706625	71.592382	28.307994	29.20558	21.226558
ATCG00930.1	0	0	0	0	0	0
ATCG00940.1	0	0	0	0	0	0
ATCG00950.1	33.334487	109.256325	75.291542	33.260444	37.311668	27.749692
ATCG00960.1	18.259603	18.168326	10.089523	7.152686	6.42266	4.672076
ATCG00970.1	4.564901	24.224435	5.675356	8.940858	11.239655	1.752029
ATCG00980.1	0	0	0	0	0	0
ATCG00990.1	0	0	0	0	0	0
ATCG01000.1	1.028069	0.499032	0.414057	0.885137	0.778426	0.420001
ATCG01010.1	1036.372382	1281.49475	1975.185209	1311.073047	1245.339205	1245.578818
ATCG01020.1	11323.388471	12044.388894	13086.615339	14959.128164	14805.516395	13578.922051
ATCG01030.1	0	0	0	0	0	0
ATCG01040.1	1071.909018	1067.491694	1275.138793	1510.442174	1426.854106	1396.876306
ATCG01050.1	3813.675307	4335.860066	5447.219174	4074.146729	4326.304179	4347.919802
ATCG01060.1	9491.950291	9146.406322	11254.02171	9072.387851	8062.222679	7656.36475
ATCG01070.1	2484.718953	2795.759303	4857.834896	3340.559963	2823.332629	2767.0788
ATCG01080.1	2847.431105	3172.315179	4739.985381	4030.752466	3810.428705	4040.889809
ATCG01090.1	678.73345	661.249856	876.160479	672.438004	539.247578	504.221251
ATCG01100.1	3325.285652	3931.573411	5626.404258	3718.975653	3881.141272	3864.962718
ATCG01110.1	550.823114	677.783754	780.317128	757.416314	854.803653	823.031853
ATCG01120.1	2464.370123	3244.504137	4206.209882	3553.295614	3685.179722	3803.069966
ATCG01130.1	389.022591	386.217577	480.152397	363.730982	364.56034	329.142356
ATCG01200.1	0	0	0	0	0	0
ATMG00010.1	0.375	0.487933	0.550838	0.610182	0.334831	0.631062
ATMG00020.1	22.493814	32.918315	46.578239	28.186454	38.014946	35.900039
ATMG00030.1	0.658004	0.736554	1.53388	0.869921	1.475476	1.136451
ATMG00040.1	0.543611	0.729855	1.286338	0.78486	0.831529	0.870521
ATMG00050.1	0.087739	0.029161	0.165746	0.069668	0.090902	0
ATMG00060.1	107.25395	114.873041	124.119217	138.665226	132.624096	136.644266
ATMG00070.1	148.405948	139.44955	137.664887	164.998548	164.760517	151.347804
ATMG00080.1	93.09139	125.344179	146.730268	127.475667	148.426643	151.799498
ATMG00090.1	48.754724	63.330094	77.52613	66.681669	82.332068	80.315852
ATMG00100.1	0	0	0	0	0	0
ATMG00110.1	16.588422	16.341877	17.504988	13.542775	14.011232	12.667768
ATMG00120.1	0.439684	0.413107	0.194785	0.111838	0.163722	0.382273
ATMG00130.1	0.629641	0.73091	1.239446	0.924916	0.775149	0.604148
ATMG00140.1	0.4865	0.401582	0.332515	0.638262	0.666743	0.601347
ATMG00150.1	0.482102	0.779499	0.6743	0.637368	0.572316	0.277549
ATMG00160.1	197.204125	199.034067	266.176094	274.587633	249.832155	242.14708
ATMG09450.1	0	0	0	0	0	0
ATMG00170.1	3.911893	5.205531	7.447167	6.464218	4.719664	5.727725
ATMG00180.1	44.260132	51.624712	60.366126	90.957395	104.32383	95.352191
ATMG00190.1	0	0	0	0	0	0
ATMG00200.1	0.215093	0.507387	0	0	0.129075	0.150929
ATMG00210.1	0	0	47.020725	0	0	0
ATMG00220.1	83.545639	125.66672	210.237873	127.004065	143.803402	145.565324
ATMG00230.1	0	0	0	0	0	0
ATMG00240.1	0.283095	0.352099	0.26397	0.249512	0.298728	0.325959
ATMG00250.1	0	0	0	0	0	0
ATMG00260.1	0.543441	1.081448	2.432296	0.894086	0.688142	1.752029
ATMG00270.1	290.535515	319.454674	457.120799	383.435876	384.700584	371.155003
ATMG00280.1	74.542954	64.732155	93.427156	65.272305	51.039722	57.709041
ATMG00285.1	90.255302	93.930004	119.476429	166.820023	166.528577	166.798702
ATMG00290.1	52.919989	60.575065	52.81158	88.682004	89.726932	93.543949
ATMG00300.1	1.100756	1.642881	1.449027	1.217479	1.229871	1.453811
ATMG00310.1	1.617627	1.583577	2.88624	1.261612	1.467216	1.785115
ATMG00320.1	0.863016	0.858702	1.185895	0.427026	1.006536	0.83679
ATMG00330.1	0	0	0	0	0	0
ATMG00340.1	0	0	0	0	0	0
ATMG00350.1	0	0	0	0	0	0
ATMG00360.1	0	0	0	0	0	0
ATMG00370.1	0.069282	0.064232	0.126893	0.160954	0.223787	0.117813
ATMG00380.1	0	0	0	0	0	0
ATMG00390.1	0	0	0	0	0	0
ATMG00400.1	0.290392	0.218434	0.336132	0.380109	0.537783	0.537688
ATMG00410.1	329.904814	369.105802	482.029135	572.143504	617.289779	586.137946
ATMG00420.1	0	0	0	0	0	0
ATMG00430.1	1.628791	1.450054	2.877646	1.208905	0.99506	1.381882
ATMG00440.1	0	0.774692	1.962892	0.376518	0.550098	0.741059
ATMG00450.1	1.702561	3.120332	2.496673	2.254127	2.063415	2.74166
ATMG00460.1	0	0	0	0	0	0
ATMG00470.1	0	0.151801	0.138255	0.12841	0.16233	0.068003
ATMG00480.1	384.475062	379.712653	369.818952	810.690531	823.86248	790.335426
ATMG00490.1	0	0	0	0	0	0
ATMG00500.1	0	0	0	0	0	0
ATMG00510.1	96.115537	123.843136	148.164757	135.756885	159.255051	160.623424
ATMG00513.1	95.657633	105.892942	136.348753	161.068723	168.760379	164.689806
ATMG00516.1	202.198251	256.137772	352.984917	341.961518	340.967698	353.085282
ATMG00520.1	9.148422	12.178854	13.262013	17.957469	20.007836	20.714977
ATMG00530.1	0	0	0	0	0	0
ATMG00540.1	0.29479	0.465779	0.496009	0.538318	0.413574	0.420592
ATMG00550.1	0	0	0	0.1268	0	0
ATMG00560.1	15.360467	15.891679	15.259135	18.306634	18.258423	17.224375
ATMG00570.1	20.21385	21.03352	29.669053	27.646624	26.022425	25.397074
ATMG00580.1	291.07409	343.594438	460.771698	479.518178	514.721556	481.641127
ATMG00590.1	0	0	0	0	0	0
ATMG00600.1	0.171452	0.255892	0.426318	0.201484	0	0.493529
ATMG00610.1	0	0	0	0	0	0
ATMG00630.1	2.639943	2.626746	4.923201	3.791786	2.630969	3.46184
ATMG00640.1	109.70508	108.614617	145.154285	133.467296	140.625683	129.241731
ATMG00650.1	112.713599	111.028659	190.019343	130.205382	118.581338	124.718477
ATMG00660.1	34.065769	37.492112	38.791073	66.498247	73.039914	74.936077
ATMG00665.1	0	0	0	0	0	0
ATMG00670.1	4.423233	4.671206	5.576593	8.397999	7.959067	7.292161
ATMG09740.1	0	0	0	0	0	0
ATMG00680.1	0.021629	0	0.064658	0.023609	0.039254	0
ATMG00690.1	26.121786	27.702857	35.991144	45.459255	43.642252	45.295089
ATMG00710.1	0.477826	0.876727	0.669659	0.544679	0.81092	0.712653
ATMG00720.1	0.822505	1.309429	0.409035	0.386632	0.694342	0.66293
ATMG00730.1	38.880554	42.42711	50.271255	50.063646	50.324273	50.057486
ATMG00740.1	0	0.2243	0.140132	0	0.356814	0.25956
ATMG00750.1	0.497989	0.660666	0.687922	0.390147	0.52549	0.700811
ATMG00760.1	0	0.075701	0	0	0.24085	0.087601
ATMG00770.1	0.225427	0.560751	0.840794	1.059657	0.594691	0.51912
ATMG00800.1	0	0	0	0	0	0
ATMG00810.1	0.115343	0.038414	0.131515	0.150224	0.128601	0.041527
ATMG00820.1	0.121246	0.072384	0.120592	0.113987	0.025588	0.083762
ATMG00830.1	10.727017	11.117235	14.939787	12.905296	12.943428	11.727474
ATMG00840.1	0.524701	0.991949	0.521872	0.493289	0.775149	0.362489
ATMG00850.1	0.08225	0.081839	0	0.289974	0	0
ATMG00860.1	0.053863	0.482345	0.100449	0.158245	0.085257	0.155047
ATMG00870.1	0.270598	0.482266	0.287842	0.352842	0.453677	0.413611
ATMG00880.1	0.05077	0.149939	0.180274	0.159313	0.246432	0.175542
ATMG00890.1	1.279239	1.259507	1.897851	2.349942	2.045173	1.677317
ATMG00900.1	7.971657	7.048659	8.87883	20.113545	23.67221	18.752634
ATMG00910.1	0	0	0	0	0	0
ATMG00920.1	0	0	0	0	0	0
ATMG00930.1	0	0	0	0	0	0
ATMG00940.1	0.628468	0.917783	1.41479	1.568912	1.788675	1.493193
ATMG00950.1	0	0	0	0	0	0
ATMG00960.1	12.624874	20.291517	35.009178	18.826884	20.383062	19.952872
ATMG00970.1	6.661329	10.096422	9.462002	7.494321	6.625644	7.799792
ATMG00980.1	80.4891	87.051582	70.425207	71.060566	90.23944	89.472019
ATMG00990.1	3.10906	9.181468	6.407678	0	3.280592	8.285072
ATMG01000.1	29.149107	32.38053	43.729177	25.218539	30.419875	29.282685
ATMG01010.1	3.01733	4.908702	0	4.091576	3.953196	4.08832
ATMG01020.1	2.427765	2.522193	0	1.897199	2.699582	3.222984
ATMG01030.1	0.514355	0.68238	0.397168	1.007522	1.085522	0.690964
ATMG01040.1	3.273095	2.447122	0.600026	3.141013	1.907721	2.096268
ATMG01050.1	0.448235	0.844771	0.843495	0.682134	0.857509	0.793725
ATMG01060.1	0.658004	0.89605	1.303325	1.063237	0.856012	0.93895
ATMG01070.1	0	0	0	0	0	0
ATMG01080.1	8.437919	5.855018	2.755628	5.339311	7.584072	26.309293
ATMG01090.1	5.242106	7.587699	10.985226	7.343846	7.865994	7.96822
ATMG01100.1	0.179314	0.891108	0.891778	0.210772	0.472254	0.721424
ATMG01110.1	0	0	0	0	0	0
ATMG01120.1	515.326573	666.979433	894.68842	796.809256	885.042582	904.513938
ATMG01130.1	15.43065	13.562271	11.510582	16.62244	21.710401	18.655403
ATMG01170.1	91.728466	100.831283	120.476403	85.643417	92.445064	91.857541
ATMG01180.1	0.07081	0.070424	0	0.083173	0	0.162986
ATMG01190.1	252.489059	297.880407	337.790583	334.799671	400.548741	384.374573
ATMG01200.1	14.373089	16.650113	28.871786	23.389679	23.833497	23.425107
ATMG01210.1	13.151262	14.275113	18.512472	11.623115	12.61594	8.259563
ATMG01220.1	59.628254	54.849541	44.223975	50.500006	50.925416	53.496319
ATMG01230.1	0.06475	0.032213	0.080502	0.152185	0.170815	0.037277
ATMG01240.1	1.465277	0.785051	2.242116	2.119314	1.665134	1.168019
ATMG01250.1	0.204589	0.356242	0.190768	0.540959	0.161916	0.235567
ATMG01260.1	0.703446	1.215646	0.981652	1.227595	1.129972	0.915405
ATMG01270.1	0	0	0	0	0	0
ATMG01275.1	31.273227	42.748423	67.099266	55.018635	58.323434	56.589992
ATMG01280.1	1.311149	2.182178	4.10047	1.733431	1.966558	1.997496
ATMG01290.1	0.212321	0.21126	0.17598	0.083171	0.597457	0.570428
ATMG01300.1	0	0	0	0	0	0
ATMG01310.1	0	0	0	0	0	0
ATMG01320.1	67.322916	76.795336	90.138262	121.766322	129.352046	122.07099
ATMG01330.1	5.274642	6.415825	7.499364	7.505335	10.45596	10.963742
ATMG09950.1	0	0	0	0	0	0
ATMG01340.1	0	0	0	0	0	0
ATMG01350.1	6.378414	6.984595	6.119799	7.175222	8.155008	9.258751
ATMG09960.1	0	0	0	0	0	0
ATMG01360.1	171.792771	190.976523	270.07779	290.500038	303.397678	296.714384
ATMG09980.1	0	0	0	0	0	0
ATMG01370.1	1.344699	2.183016	4.399501	2.411952	1.194914	1.792773
ATMG01380.1	4.05769	0	0	4.768458	2.140887	2.336038
ATMG01390.1	9.184382	16.182859	16.126388	10.148917	14.405655	14.480089
ATMG01400.1	0.358031	0.35457	0.111281	0.210373	0.094451	0.412242
ATMG01410.1	0.221544	0.283379	0.483516	0.187491	0.167541	0.219783
AT1G01010.1	0.187189	0.158092	0.361168	0.186581	0.207093	0.22351
AT1G01020.2	1.498693	1.206155	2.328701	1.246526	1.408333	0.923364
AT1G01020.6	0.134004	0.180168	0.13392	0.166625	0.274992	0
AT1G01020.1	0	0	0	0	0	0
AT1G01020.3	0.860518	0	0	1.066346	0.700822	0.654144
AT1G01020.4	0.356111	0.87514	0.662996	0.186777	0	0.211648
AT1G01020.5	0	0	0	0	0	0.356278
AT1G03987.1	0	0	0	0	0	0
AT1G01030.1	0.23821	0.12693	0.406305	0	0.046656	0.048448
AT1G01030.2	0.130166	0.216056	0	0.218375	0.211841	0.218817
AT1G01040.1	0.873062	1.129555	1.245247	0.822515	1.110231	1.076353
AT1G03993.1	0.024969	0.038529	0.125967	0	0.051797	0.028422
AT1G01040.2	0	0.014518	0.038293	0.024364	0	0
at1g01046	6.086534	5.383208	5.044761	1.589486	2.854516	3.114717
AT1G01050.1	3.21394	3.078601	3.972833	3.059807	2.953953	2.83263
AT1G01050.2	0	0.018254	0.016236	0.018105	0.036166	0
AT1G03997.1	0	0	0	0	0	0
AT1G01060.6	0	0	0	0	0	0
AT1G01060.3	0	0	0	0	0	0
AT1G01060.1	0.402116	0	0.359925	1.718812	1.538399	0.678124
AT1G01060.7	0.015617	0.016427	0	0.116369	0.239972	0.167023
AT1G01060.2	0	0.03231	0	0.110378	0	0.075459
AT1G01060.4	0	0.397842	0	0.509487	0.743612	0.788889
AT1G01060.8	0	0	0.024498	0	0	0
AT1G01060.5	0	0	0	0	0	0
AT1G01070.1	0.296534	0.437739	1.068354	0.66076	0.134493	0.685141
AT1G01070.2	0	0	0	0.1223	0.349446	0
AT1G04003.1	0	0	0	0	0	0
AT1G01080.1	7.416351	6.088779	8.760322	5.874725	4.843671	5.000987
AT1G01080.3	0.883561	1.255819	1.693719	1.401816	1.188494	0.915713
AT1G01080.2	1.277574	1.697166	0.220911	0	1.134835	0.811952
AT1G01090.1	11.356614	12.989555	12.789362	9.258674	9.305834	8.982604
AT1G01100.2	43.3808	26.242801	11.810498	22.575407	25.622561	18.19188
AT1G01100.1	0	0.183213	3.698647	0	0	0
AT1G01100.4	0	0.113252	0.686436	0	0	0
AT1G01100.3	0.270881	12.709063	26.184883	2.740311	0	3.646722
AT1G01110.2	0.131006	0.166453	0.143525	0.110681	0.161509	0.106065
AT1G01110.1	0.008194	0.037662	0.105908	0.064891	0.036113	0.043827
AT1G01120.1	6.104295	7.148413	7.783302	7.444566	6.185884	7.733723
AT1G01130.1	0.340846	0.096898	0.181611	0.114443	0.359669	0.168195
AT1G01140.1	0	0.145888	0	0	0.152265	0
AT1G01140.2	3.398291	3.01126	2.508568	4.061084	4.50956	3.689907
AT1G01140.3	2.833964	3.518327	4.395976	3.275042	4.873198	4.00707
AT1G01150.1	0	0	0	0	0	0
AT1G01150.2	0.007708	0	0	0	0	0.008153
AT1G01150.3	0	0.007791	0.008549	0	0.015481	0
AT1G01160.1	1.975808	1.794049	1.397151	1.67044	1.683521	1.561893
AT1G01160.2	0.074697	0.064965	0.066253	0	0	0
AT1G04007.1	0.02871	0	0	0.033739	0	0
AT1G01170.2	0.763787	0.578052	0.832668	1.048499	0.767144	0.741592
AT1G01170.1	20.21172	20.027194	31.96833	19.554657	18.859073	17.797802
AT1G04013.1	0	0.318743	0.398271	0.376457	0	0
AT1G01180.1	0.596963	0.785428	0.93907	0.83435	0.895226	0.679358
at1g01183	0	0	0	0	0	0
AT1G01190.1	0.454625	0.634435	0.66748	0.254335	0.379657	0.323975
AT1G01190.2	0.019681	0.006958	0	0	0.029662	0.027565
AT1G01200.1	0.098736	0.066072	0.100521	0.073589	0.027145	0.013727
AT1G01210.2	0	0	0	0	0	0
AT1G01210.3	0.332468	0.1792	0.384141	0.137208	0.623371	0.459358
AT1G01210.1	2.11995	2.178283	2.369631	2.141	1.419022	1.509127
AT1G04017.1	0	0	0.54051	0	0	0
AT1G01220.1	0.280253	0.136029	0	0	0.168779	0.156824
AT1G01220.2	1.072565	0.917537	0.842082	1.014096	0.636248	0.798087
AT1G01220.3	0.327196	0.733456	0.695313	0.543241	1.059369	1.063668
AT1G01220.4	0	0	0	0	0.040862	0.108218
AT1G04023.1	0	0.075701	0.189179	0.178817	0.080283	0.087601
AT1G01220.6	0	0	0.315754	0	0	0
AT1G01220.5	0.016583	0.069067	0.082655	0.221975	0	0
AT1G01220.7	0	0.034526	0	0.241696	0	0
AT1G01220.8	0.031657	0	0.322545	0	0.146464	0
AT1G01225.1	0.351183	0.261194	0.367605	0.416003	0.316046	0.210005
AT1G01230.1	3.58754	3.130095	4.791763	3.700643	2.897016	3.429087
AT1G01240.4	0	0	0	0	0	0
AT1G01240.1	1.237672	0.74749	1.108187	2.026724	0.583122	0.5394
AT1G01240.2	0.493162	0.760046	1.487293	0.790473	1.458297	0.927447
AT1G01240.3	1.97668	2.500577	2.248591	2.127112	0	0.949314
AT1G01240.5	0	0	0	0.985378	3.212973	3.522446
AT1G01250.1	0.224546	0.216689	0.226719	0.302432	0.19107	0.205162
AT1G01260.3	0.144835	0	0.192985	0.057271	0.261098	0
AT1G01260.1	0.675822	1.309511	1.315587	0.669234	0.457668	0.474112
AT1G01260.2	0.578183	0	0	0.224847	0.48925	0.708591
AT1G01270.1	0	0	0	0	0	0
AT1G01280.1	0	0	0	0	0	0
AT1G01290.1	0.662129	0.706445	1.148062	0.504666	1.062503	0.783583
AT1G01290.2	1.372692	1.402543	1.584713	2.151841	1.779707	1.906727
AT1G01300.1	1.946083	2.506272	2.20669	1.627312	1.596375	1.6553
AT1G01305.1	0	0	0	0	0	0
AT1G01310.1	0	0.011893	0	0	0.006235	0
AT1G01320.3	16.801285	16.98014	18.941976	13.937567	16.942808	16.199941
AT1G01320.2	0.115752	0.093242	0.168917	0.083683	0.064159	0.13682
AT1G01320.1	0.092923	0.016306	0.022852	0	0.019342	0.022712
AT1G01335.1	0	0	1.891785	0	0	0
AT1G01340.2	0.069304	0.08194	0.092937	0.088037	0.058349	0.074705
AT1G01340.1	0	0	0.022974	0	0.031377	0.010094
AT1G01350.1	2.683976	2.501189	2.82511	2.499472	2.562417	2.694934
AT1G01355.2	0	0	0	0	0	0.013751
AT1G01355.3	0	0	0	0.014822	0	0.017913
AT1G01355.1	0	0	0	0	0	0
AT1G01360.1	1.109559	0.938941	1.26703	1.027421	0.997252	0.945433
AT1G01370.1	0.109191	0.085282	0	0	0	0.1622
AT1G01370.2	0.137631	0.183527	0.265756	0.19137	0.155374	0.02851
AT1G01370.3	0.129287	0	0.00783	0.023784	0.022528	0.035427
AT1G01370.4	0	0	0	0	0	0
AT1G01380.1	0.20246	0.101456	0.059193	0.077507	0.037799	0
AT1G01380.2	0	0	0	0	0	0
AT1G01380.3	0	0	0	0	0.250032	0.139604
AT1G01390.2	0	0	0	0	0.22778	0
AT1G01390.1	0.131395	0.264497	0.360434	0.23206	0	0.188794
AT1G01400.1	0	0	0	0	0	0
AT1G01410.1	0	0	0	0	0	0
AT1G01420.2	0.089553	0.289007	0.44074	0	0.07339	0.114133
AT1G01420.1	0.104695	0	0	0.231096	0.230405	0.304877
AT1G01430.1	3.306811	3.992371	5.009096	3.804054	3.523069	3.756552
AT1G01440.1	1.019881	1.047142	1.019196	1.045409	1.063666	0.9356
AT1G01448.1	0.359145	0.283374	0.526874	0.755052	0.666574	0.65385
AT1G01448.2	0.109535	0.06184	0	0	0.041536	0.192697
AT1G01448.3	0	0	0	0.07504	0.063455	0.037089
AT1G01450.1	0.005181	0.004901	0.021539	0.011354	0.029867	0.010578
AT1G01453.1	0	0	0	0	0	0
AT1G01453.2	0	0	0	0	0	0
AT1G01460.1	0	0	0	0	0	0
AT1G01470.1	5.894609	7.553787	10.502817	7.313234	6.472723	8.708725
AT1G01480.1	0.019986	0.003971	0.009812	0	0	0.00429
AT1G01480.2	0	0	0	0.015614	0	0
AT1G01490.3	0.417109	1.147624	0.729419	0.945348	0.982537	0.909992
AT1G01490.4	0.925154	0.236846	0.680352	0.694891	0.833359	0.497938
AT1G01490.1	5.918138	7.797632	6.542851	8.126726	8.89102	7.498296
AT1G01490.2	0.13542	0.058172	0.185932	0.071591	0.187923	0.128546
AT1G01500.1	1.641848	2.052589	2.36275	1.754159	1.906838	1.915394
AT1G01510.1	1.333614	1.47748	1.382144	1.245431	1.14959	1.089735
AT1G01520.1	0.114093	0	0.091218	0	0	0.229898
AT1G01520.2	0	0	0	0	0	0
AT1G01520.3	0	0	0	0	0	0
AT1G01520.4	0	0	0	0.025758	0	0
AT1G01520.5	0	0.091338	0	0.248608	0.429446	0
AT1G01530.1	0	0	0	0	0	0
AT1G01540.2	3.28234	2.360622	3.315022	3.789962	2.637665	2.761419
AT1G01540.1	1.26727	2.155699	1.498285	1.666334	1.902045	2.386086
AT1G01550.1	4.115155	3.603177	5.149631	4.791861	4.152587	4.628666
AT1G01550.2	5.646198	5.271842	4.382003	4.838929	5.218862	4.126904
AT1G01560.3	0	0.012083	0	0	0	0
AT1G01560.2	0.028641	0.04594	0.085935	0	0	0.03459
AT1G01560.1	0	0	0	0	0	0
AT1G01560.4	0	0	0	0.054666	0.091387	0
AT1G01570.2	0.089297	0.129476	0.167246	0.124706	0.143791	0.12961
AT1G01570.1	0	0	0	0	0	0
