tx	sorghum1	sorghum2
OQU90640	0.091454	0.084168
OQU90641	0	0
EER90535	43.689038	45.752265
EER90536	226.150544	205.833181
EER90537	347.199587	330.275281
OQU90642	2.621324	3.800741
KXG37153	7.855978	4.350503
EER93114	2.11377	2.734769
KXG37155	4.630017	3.639949
EER93113	4.791667	5.847525
KXG37157	5.543697	8.35831
KXG37156	38.476453	39.137165
KXG37158	9.585994	10.316493
OQU90645	7.778677	2.873627
EER93115	121.074867	124.241243
KXG37162	15.71921	18.596543
KXG37160	26.348282	25.298385
KXG37161	0	0
EER90539	36.152397	38.574135
EER93116	101.413212	98.82782
EER90540	0.360653	0.893945
KXG37163	0	0
ENSRNA049444170-T1	0	0
OQU90646	0.777104	0
KXG37166	0	1.198612
OQU90648	0	0
KXG37167	0	1.377185
OQU90647	1.599236	1.030833
KXG37169	0.553686	0
KXG37170	0	0
KXG37168	0.822299	0
EER90542	5.228718	5.78005
OQU90649	4.095242	6.014691
OQU90650	3.815212	3.394838
KXG37171	0.923509	0.543539
EER93118	9.050693	8.647648
EER90543	21.005741	22.345767
EER90544	17.361773	20.849998
EER90545	5.98458	6.477974
EER90546	0	0
OQU90651	0	0
EER90548	0	0
EER93119	34.400919	40.504591
OQU90652	0	0
ENSRNA049445322-T1	0	0
OQU90653	0	0
OQU90654	0	0
ENSRNA049444201-T1	0	0
EER90549	473.809367	443.746917
EER90550	547.406622	542.448126
KXG37173	0	0
EER90552	0.372601	0.347709
OQU90655	10.826319	11.440885
EER93123	16.064249	16.406282
EER90554	14.284489	12.879186
OQU90656	0.546181	0.506857
OQU90657	0.557328	0.173144
EER93126	0.509813	0.786561
EER90555	7.821849	7.961659
OQU90658	0.48006	0
EER90557	8.364751	10.017075
OQU90659	9.929884	9.684474
EER93127	48.771206	46.362447
EER90558	34.691799	34.81388
KXG37176	0	0
KXG37177	0.138622	0
OQU90660	0	0
OQU90662	3.047403	2.656182
OQU90661	1.6221	1.249147
ENSRNA049444222-T1	0	0
EER93131	18.074605	17.80687
EER90561	2.088619	2.048172
OQU90663	0	0
KXG37178	0	0
OQU90664	0	0
EER93133	23.500298	23.846451
OQU90665	4.376832	4.88108
OQU90666	0	0
KXG37182	0	0
KXG37183	43.291828	39.287257
KXG37185	69.024299	70.92744
KXG37184	87.971534	96.481219
EER93135	165.452689	166.177813
OQU90667	34.826948	39.524836
EER93136	2.657682	2.968949
EER90562	2.567695	2.5645
OQU90668	1.175247	0.604342
EER93137	0	0.070279
OQU90669	0.714051	0.618816
EER93138	1.438326	3.317381
OQU90670	5.760087	4.600853
EER90563	9.54454	9.417954
EER93139	4.128143	3.310847
EER93140	4.661285	4.894338
EER93141	10.623488	10.317688
EER93142	45.753662	44.312725
KXG37189	0	4.682703
KXG37188	23.553697	19.177723
EER93143	0	0
EER90564	43.367734	38.436413
EER93144	36.245832	36.119245
KXG37190	7.792861	8.829398
EER90565	56.340729	57.186614
KXG37193	0.781956	1.023354
KXG37194	11.864364	10.067049
OQU90672	0.841528	0.961218
EER90566	34.553334	35.442663
OQU90673	3.049078	1.830566
OQU90674	6.479684	5.776024
EER93146	13.602905	13.408196
OQU90675	0	0
OQU90676	3.290842	4.009194
EER93147	0.655856	0.752957
KXG37195	13.924947	14.500716
OQU90677	0	0
KXG37196	1.5308	1.702191
KXG37197	7.406032	7.086192
KXG37198	35.056196	38.401046
EER93149	54.499452	51.98387
EER90567	44.483102	40.233548
KXG37199	0.417738	0.576131
EER90568	8.061129	7.631314
OQU90678	0	0
EER90570	0	0
EER90571	2.370602	2.069385
EER90573	2.206636	1.877344
EER90574	0	0
EER90575	0.283152	0.264488
OQU90679	0	0
EER90577	0	0
EER93153	2.760847	2.306498
KXG37201	59.529778	57.82621
EER90578	0	0.396307
OQU90680	0	0
OQU90681	3.635205	3.782292
OQU90682	0	0
EER93154	42.327331	44.279157
KXG37204	0	0
KXG37207	34.239271	33.994889
KXG37205	0	0
KXG37206	0	0
EER93155	114.258556	120.28869
EER90579	8.233592	9.788064
EER90580	5.280587	6.06494
EER90581	3.572585	3.970725
KXG37208	0	0
EER90582	33.632242	32.908311
KXG37209	0	0
KXG37210	9.696173	8.393837
KXG37211	0	0
OQU90683	15.917142	17.240905
EER90584	0	0.181669
EER90585	3.161438	3.741573
EER93157	54.686546	54.87129
KXG37213	59.377198	66.58527
KXG37212	6.6916	8.563825
EER90586	3.842253	2.771838
ENSRNA049445318-T1	0	0
EER90587	11.568823	13.257173
OQU90684	0	0
KXG37214	0.760772	0.247137
OQU90685	207.130356	213.317376
KXG37215	0	0
OQU90686	0	0
EER90588	12.235369	12.469051
EER90589	0	0
EER90590	0.46686	0.860849
KXG37216	0	0
EER90591	0.872362	0
EER90592	533.42829	508.815345
EER90593	0.709133	0.263026
OQU90687	2.049393	2.857003
EER90595	0.60976	0.043808
KXG37218	24.000757	24.861226
KXG37220	66.801476	63.907743
KXG37219	25.005686	25.608081
KXG37223	0.014406	0.013294
OQU90688	0	0
EER90596	27.43223	23.953446
EER93162	4.512995	5.961896
OQU90689	1.193497	1.196189
EER90597	0	0
EER93163	3.64242	3.75504
EER93164	3.662816	3.669841
KXG37225	0.912819	0.519316
OQU90690	3.286015	2.274814
EER93165	0	0
OQU90692	0	0
OQU90691	11.628048	13.473703
EER93166	43.033145	42.296985
OQU90693	0	0
KXG37227	0	0
KXG37226	0	0
OQU90694	0	0
OQU90695	0	0.211002
EER93167	23.974045	22.115508
KXG37228	0	0.056076
KXG37229	49.864528	71.73338
KXG37230	0.446502	0.328416
OQU90696	7.117796	3.065187
OQU90697	0	3.852694
OQU90698	0.605588	0.585438
KXG37231	24.622124	26.989003
OQU90699	4.832536	0
EER90604	0.430055	0.400832
KXG37232	33.424194	31.242331
EER93170	5.848462	5.111907
EER90605	1.991585	2.498543
EER93171	18.602937	16.367184
KXG37233	0	0
EER90606	50.850853	47.6026
EER93172	11.749358	13.085673
OQU90700	0	0
EER90607	3.755476	3.596309
EER93173	0	0
OQU90701	0	0
EER90609	0.651896	1.293119
EER93174	0	0
EER93175	72.037665	64.36044
EER90610	0.232821	1.102479
EER93176	11.453144	10.128141
OQU90703	9.393356	9.206235
EER90611	3.697307	2.719174
KXG37236	0.206354	0.190476
EER90612	27.715826	26.586932
EER90613	9.215582	8.538189
EER90614	2.803986	2.676799
KXG37238	5.795197	5.984934
EER90615	6.317486	8.040838
KXG37239	13.683466	16.855895
ENSRNA049468937-T1	21.255385	0
EER90617	5.783988	8.028051
OQU90704	19.059954	19.140583
KXG37240	0	0.04489
KXG37241	0.129997	0.040458
OQU90709	1.823667	2.052288
OQU90710	0	0
EER93178	0	0
KXG37242	0	0
OQU90708	4.999569	5.579058
OQU90706	0	0
KXG37244	0	0
KXG37243	0	0
KXG37246	39.214601	36.994387
OQU90712	0	0
EER93180	34.344812	33.654294
OQU90713	0	0
OQU90714	0	0
KXG37249	5.103445	5.783985
KXG37247	318.28993	300.699816
KXG37248	0.132037	0.12621
KXG37250	3.201338	3.26668
KXG37251	6.812171	6.437114
EER90621	16.86991	16.834543
EER93184	10.118054	9.748151
KXG37252	11.032906	8.583822
OQU90716	0.564456	0.746638
OQU90715	0	0
OQU90717	0	0
EER93186	0	0
OQU90719	0.375987	0
OQU90721	0.155257	0.909985
OQU90718	1.310713	0
EER93188	0.187942	0.594326
OQU90722	2.427879	1.188029
OQU90723	0	0
EER90623	6.419421	6.135961
KXG37253	0	0
KXG37254	0	0
OQU90724	0	0
EER93190	7.998472	7.446985
EER93191	0	0
EER90625	13.22969	14.017514
EER90626	6.253759	8.859044
ENSRNA049444240-T1	0	0
KXG37255	455.197033	458.275486
EER93192	0.957618	0.29819
KXG37257	0	0
EER93193	0	0.275437
EER93194	0.25991	0
KXG37259	4.983387	4.157936
KXG37258	6.706153	10.917187
EER90627	0	0
EER93195	102.258035	101.574712
OQU90725	0	0
OQU90728	0	0
OQU90727	6.027984	8.270083
EER90628	15.250972	12.390195
OQU90726	1.613997	0.473945
EER90629	117.99614	116.023481
KXG37260	0	0
EER90630	302.959812	308.812301
OQU90733	5.103069	6.562903
OQU90731	0	10.448581
OQU90729	14.96376	0
OQU90735	5.987136	6.022042
OQU90736	0	0
EER93197	0.089527	0.166786
EER93198	27.051463	31.031943
KXG37264	0	0
OQU90737	0	0
EER93200	8.592291	7.828098
EER93202	16.223081	18.009912
EER90632	228.734967	234.794616
EER90633	70.669454	68.249607
OQU90738	0	0
OQU90739	0	0
KXG37265	9.566744	10.671153
OQU90741	5.695643	4.893389
OQU90740	0.450993	0.211454
KXG37266	0	0
KXG37267	0	0
EER90640	12.475593	13.888937
OQU90746	22.131369	23.820077
OQU90744	0	0
OQU90745	0	0
EER90641	0	0
KXG37269	0	0
OQU90747	0	0
KXG37270	3.087443	2.708115
EER93204	16.15903	15.263936
OQU90748	27.896136	24.943722
OQU90749	0	0
ENSRNA049468928-T1	0	0
EER93206	27.916622	29.08039
EER90644	56.3587	57.043069
EER90645	122.194627	128.258341
EER90646	0.462154	0.555833
OQU90750	1.11755	0.316797
ENSRNA049997145-T1	0	0
EER93207	6.098881	5.372665
OQU90752	1.423352	0
EER90647	0.456822	0.976163
KXG37271	0.68966	0
EER93209	10.336929	11.206122
EER90648	0.566672	1.161099
EER90649	0	0
EER93210	0	0.0722
EER93211	0	0
EER90650	6.584509	6.572233
OQU90753	111.189234	106.807697
KXG37273	7.824975	7.994911
EER90651	19.115481	20.177284
EER90652	120.06931	122.382689
OQU90754	0	0
EER90653	14.182759	16.040945
EER93213	33.639475	33.064875
OQU90755	205.549125	206.12884
EER90654	87.898872	89.558124
EER93215	27.399728	31.27113
EER93216	17.005748	14.467297
OQU90756	0	0
KXG37275	0	0
KXG37276	22.043445	24.49435
OQU90757	105.127432	96.072501
OQU90759	4.141187	2.425976
KXG37278	0	2.094266
OQU90760	4.55799	4.175239
OQU90758	0	0
EER93218	193.865021	207.896347
OQU90761	0	0
EER90659	145.72738	155.754163
EER93219	24.80532	25.002718
EER90660	20.821248	19.905937
EER90661	0	0
EER90662	16.756391	14.337507
OQU90762	0	0
OQU90763	0.519098	0.051367
OQU90764	0	0
EER93220	0.669765	2.420374
EER93221	0	0
OQU90765	0.300649	0.6366
OQU90766	2.514506	2.812979
EER93223	198.856357	198.122681
EER90663	2.100925	1.711939
OQU90767	0	0
EER93224	18.91038	19.944155
OQU90768	0	0
KXG37282	0	0.360683
KXG37283	29.777007	32.350728
KXG37285	3.664721	0
OQU90769	0.556568	0.317729
EER90664	38.897305	35.971764
OQU90770	0.262398	0.090299
EER90665	0.181946	0.041654
EER90666	44.701455	52.865314
OQU90771	1.876237	2.214259
ENSRNA049469080-T1	0	0
OQU90772	0.843934	0.857926
EER93229	19.527801	19.743045
EER90667	25.32464	27.260883
EER90668	4.013274	4.18753
KXG37288	0.216713	0.299652
EER93230	13.136273	14.333544
OQU90773	3.502742	3.519804
OQU90774	7.253329	5.209267
ENSRNA049468921-T1	0	0
EER90673	22.084962	20.23386
EER90674	31.765261	30.664046
EER93232	2.458044	4.00518
EER93233	2.05928	1.545777
KXG37294	0	0
OQU90775	0	0
OQU90776	0	0
OQU90778	0	0
OQU90779	0.069747	0
OQU90777	0.33916	0.16176
OQU90780	0	0
EER90677	1.828422	1.277609
OQU90781	2.902191	3.531709
EER90679	5.548586	0
OQU90783	0	0
OQU90784	0	5.334476
EER90680	0	0
EER93235	16.181176	11.946047
OQU90786	4.240249	7.338009
KXG37302	1.397643	1.418816
EER93237	14.31776	15.102826
OQU90787	0	0.06542
KXG37304	0.261509	0.401908
EER90681	0	0
EER90682	0	0
OQU90788	169.79272	185.056375
EER90684	24.386091	22.379108
EER93240	0.12893	0.119896
EER90686	0	0
EER93241	210.837132	205.91109
EER93242	70.449484	64.845332
KXG37307	0.810041	1.060994
OQU90789	6.448313	6.5422
OQU90790	0	0
OQU90792	0.414466	0
OQU90791	0	0.592238
OQU90793	1.409308	3.112161
EER93243	69.859004	76.862912
EER93244	71.480425	72.825656
KXG37308	0.616709	0.902231
EER90688	21.993971	24.139277
EER93245	0.669457	0.621015
OQU90794	34.834736	37.031805
EER93246	656.680415	682.22751
EER90692	18.14463	14.489424
EER90693	58.108072	57.357149
EER93247	65.020561	68.43693
OQU90796	0	0
OQU90795	22.555952	25.710773
KXG37310	0	0
KXG37311	33.113746	33.610153
EER93249	1.26494	1.439745
KXG37312	128.459212	112.187163
KXG37313	0.698192	0.586931
EER93250	8.033997	7.371244
OQU90797	5.136477	3.670713
OQU90798	0.85181	1.467609
EER93251	17.86946	11.565972
KXG37314	50.170324	53.294042
EER93252	29.151973	25.339005
KXG37316	27.667179	26.03533
KXG37315	0.052537	0.192899
EER93253	49.77406	46.941165
EER90694	0	0
KXG37317	0	0.17595
EER90695	3.610917	4.520925
OQU90799	93.251474	93.989081
OQU90800	67.554808	62.158021
KXG37321	0	0
EER90698	5.00534	4.690773
KXG37320	0	0.186494
KXG37322	2.066416	1.920222
EER90699	17.294617	17.739367
OQU90801	0.24992	0.238962
KXG37324	14.994555	14.81601
KXG37325	0	0.299264
KXG37326	61.419167	59.547609
KXG37327	0	0
KXG37329	29.157632	29.824241
EER93257	51.413889	52.907356
EER90700	0.804853	0.321426
EER90701	4.72171	5.106791
EER90702	0	0.121211
OQU90802	0.241574	0
EER90704	3.846387	1.632499
EER93258	0.3094	0
OQU90803	8.821163	8.288167
EER93260	101.878865	101.174646
OQU90804	7.853325	7.4336
OQU90805	0	0
EER93261	0	0
EER90705	5.957295	5.774821
OQU90807	7.790372	6.858075
OQU90806	0	0
OQU90810	30.700255	31.882637
OQU90811	0.070066	0.433671
OQU90812	0.906003	0
EER90708	5.085435	4.284096
EER90709	0.090977	0.084227
OQU90814	0	0
OQU90815	233.048639	229.541712
EER90712	17.7343	13.542756
KXG37334	7.3342	5.827017
OQU90816	0.203598	0.578466
EER90714	37.584703	41.954278
EER93263	8.399117	8.503404
EER90715	16.269531	15.684542
EER93264	17.39462	18.55813
KXG37336	6.211968	6.459231
KXG37337	152.161596	152.268313
KXG37338	10.358826	11.155487
OQU90818	0	0
OQU90820	0	0
OQU90819	0.329215	0.436822
EER93266	3.690148	3.397716
OQU90821	4.938362	3.435503
OQU90822	0	0
OQU90823	0	0
EER93268	9.694618	9.123241
EER90717	0	0
KXG37340	8.993203	8.295438
OQU90824	0	0.122708
OQU90825	0	0
EER93269	20.838782	19.794569
KXG37341	0.487176	0.493642
EER90722	94.244466	100.914698
EER90723	6.042248	8.227012
OQU90826	43.090988	54.904619
KXG37346	86.655778	89.105308
EER93271	0.370816	0.408913
EER90724	0	0
KXG37348	0	0
EER90726	0.13799	0
OQU90827	0	0.088398
EER93274	128.945899	116.278527
OQU90828	3.942025	4.126483
EER93275	0	0
EER93276	3.925297	5.51896
OQU90829	0	0
EER93277	8.727285	9.228176
EER93278	6.027293	6.670821
EER90727	0	0
KXG37349	0	0
OQU90830	0	0
EER93280	16.476185	16.429786
EER93281	75.572936	80.385313
OQU90831	352.596855	371.206933
EER90728	53.689762	58.245647
OQU90832	0	0
EER93286	0	0
KXG37354	0.247616	0.578015
EER90731	5.020957	3.095561
EER93288	0.033858	0.123691
KXG37356	0	0
EER93290	0.231659	0.206844
KXG37357	9.637982	10.140826
KXG37358	0	0
EER90734	181.573439	183.225163
EER93291	62.617952	60.691841
KXG37359	6.154805	0.421473
EER93292	4.797847	10.622552
EER90735	0	0
EER90736	0.104477	0.194474
OQU90833	10.828063	11.668261
OQU90834	13.338652	14.214422
EER90738	12.156118	11.533688
EER93294	26.386652	28.7248
KXG37363	20.459537	23.463559
EER93295	92.745954	88.771176
KXG37365	7.789761	7.988925
EER90739	64.880995	63.486754
EER90740	0.97167	0.52279
OQU90835	0	0
ENSRNA049997152-T1	0	0
EER93297	2.100552	2.541468
EER93298	30.333606	30.011835
EER90742	54.5015	51.285227
EER90743	0.488896	0.305747
KXG37367	19.361074	12.158056
EER93299	391.103833	376.64705
KXG37369	0	0
OQU90837	2.894836	2.540953
KXG37368	4.169171	4.924367
EER90744	7.45719	9.310703
EER93301	3.103384	3.802125
EER90745	6.353512	4.781386
EER90746	11.600794	10.839882
EER93302	34.7261	34.340292
EER90747	0	0
EER90748	332.650353	319.82355
OQU90840	0	0
OQU90838	0	0
KXG37371	4.430538	3.674176
OQU90839	17.509092	19.404563
OQU90843	0	0
OQU90841	0	0.741972
OQU90842	0.623844	0
EER93305	0	0
KXG37374	0	0.080357
EER93307	0	0.78314
ENSRNA049468934-T1	0	0
EER90749	6.923775	8.56842
KXG37375	116.332832	118.336401
OQU90844	0.287375	0.26925
EER93309	2.713459	3.278809
OQU90845	0	0
EER93310	4.901158	6.447901
OQU90847	0	0.366932
KXG37378	0	0
OQU90846	3.441868	0
OQU90848	2.782794	2.259901
KXG37377	0	0
EER93311	27.721681	23.394219
OQU90849	0.087948	0.245305
EER93313	5.904164	5.792773
KXG37380	0.102444	0.442881
KXG37379	0	0
OQU90851	2.813496	2.931923
OQU90850	0	0.081336
EER93315	0	0
EER93316	0	0
EER93317	0.067898	0
OQU90852	9.977973	10.854051
EER93318	27.67112	25.772038
KXG37382	0.177737	0.331736
KXG37385	7.366573	6.536783
KXG37383	0.133336	0
KXG37384	36.652593	34.740755
EER90754	17.971035	18.771631
EER90755	43.480134	49.171029
KXG37387	0.234056	0
KXG37386	11.935006	13.117629
EER90756	3.997056	5.094914
KXG37390	0	0
OQU90853	0	0
OQU90854	0	0
OQU90855	0	0
OQU90856	0	0
EER90757	13.745244	13.414962
KXG37391	0	0
EER90758	0	0
OQU90857	0.183984	0.340705
EER90760	0	0
OQU90858	0.119495	0
OQU90859	0.26096	0.500286
EER90761	5.754794	5.182627
OQU90860	0	0
EER93325	0	0
EER93326	7.609108	6.471397
EER90762	0	0
OQU90861	0	3.364704
EER90763	27.814119	24.90708
EER93327	0.106228	0.098864
EER90764	0.402156	0.231306
EER90765	3.370832	3.924849
KXG37392	9.290287	10.10132
EER90766	298.737389	293.970816
EER93328	9.443407	8.081565
EER93329	13.718636	13.519863
OQU90862	0.295067	0
OQU90863	0	0
OQU90864	7.324294	6.104784
EER93330	1.832538	1.132241
EER93331	2.279691	2.076496
KXG37395	10.511189	9.455749
KXG37396	0.16413	0.971194
KXG37393	8.470194	9.669746
KXG37400	53.11327	64.47293
KXG37398	12.210549	0
KXG37399	99.812617	96.877444
OQU90867	2.592275	1.85389
KXG37402	0	0
KXG37403	299.905438	294.398534
KXG37404	434.242344	439.068138
EER90769	14.98039	16.166582
KXG37405	0.205018	0.216767
OQU90868	17.565075	20.188679
EER93336	5.960191	6.062643
EER93337	20.108043	20.115168
OQU90869	0	0
EER93338	51.552251	53.362622
OQU90871	0	0.365183
EER90771	0.422253	0.540584
EER90772	1.432186	0.984983
OQU90870	0	0.214911
KXG37406	0	0
EER90773	20.583995	28.164337
KXG37407	4.001888	4.342602
EER93339	18.012733	16.97989
OQU90873	12.560094	12.529423
OQU90874	0.243195	0.126731
KXG37408	20.144802	18.567115
EER90776	87.665956	79.504864
EER93341	0	0
EER90777	0.675171	0.622308
EER93342	0	0
KXG37409	6.712334	5.573361
KXG37410	2.552982	2.022803
KXG37411	12.56393	13.025343
KXG37412	5.646789	6.128207
KXG37415	15.603438	15.736402
KXG37417	0	0
KXG37414	0	0
OQU90877	0	0.127906
KXG37413	0.807785	0.817078
OQU90879	23.089356	18.892429
ENSRNA049469047-T1	0	0
ENSRNA049469020-T1	0	0
EER90780	13.853376	13.380893
OQU90880	0	0
EER93344	4.354069	3.880139
EER90781	5.007033	6.049674
EER90782	20.380482	20.235975
KXG37420	6.870567	7.330758
OQU90884	18.84371	20.141844
OQU90882	0	0
OQU90883	0	0.192658
OQU90881	0.423132	1.391045
EER90784	1.453646	0.904808
EER90785	0.705023	0.872157
OQU90885	9.083914	10.005235
KXG37426	119.178258	116.673546
EER90787	11.349847	13.530206
OQU90886	7.418193	9.830774
KXG37427	42.140241	39.636912
KXG37428	0	0
OQU90887	0	0
OQU90888	0	0
OQU90889	0	0.057573
ENSRNA049997158-T1	0	0
KXG37430	0	0
KXG37432	51.824368	54.05956
KXG37431	2.02926	3.579097
OQU90890	1.923564	3.099047
OQU90891	107.446756	98.567613
ENSRNA049444312-T1	0	0
EER90788	14.311338	13.547667
KXG37434	0.418413	0
ENSRNA049468970-T1	0	0
ENSRNA049469087-T1	0	0
OQU90892	0	0
KXG37436	56.920714	63.183908
KXG37437	0	0
EER90791	6.231877	7.936686
OQU90893	0.563899	0.597959
KXG37439	3.649216	2.465353
EER93352	0	1.652146
EER90792	45.095537	41.51911
OQU90894	12.048125	11.724093
EER93353	58.911883	51.7204
OQU90895	0	3.446642
EER93354	91.009057	94.394311
EER93355	13.685525	12.646906
EER90794	437.074941	455.088519
EER93356	0	0
OQU90896	22.514568	21.951402
EER93357	3.490604	4.146701
OQU90897	0	0
EER90796	783.552509	756.008746
OQU90898	3.575313	5.128209
OQU90899	29.125845	24.980352
EER93358	5.777064	7.889856
EER90798	39.525466	40.765584
KXG37444	7.153987	7.731964
KXG37443	0.215486	0
EER93360	0.195202	0.545013
EER93361	2.111332	2.219268
KXG37445	0.677895	0.840985
OQU90900	0	0
EER90800	0.410739	0
